,IoU,Precision,Recall,F1
sky,0.9385392069816589,0.9808290600776672,0.9560778141021729,0.9682953219126477
vegetation,0.8064497709274292,0.8742796778678894,0.9122388958930969,0.8928560158890106
car,0.7721590995788574,0.8501381874084473,0.8938223719596863,0.87143313088171
road,0.7412136793136597,0.7628320455551147,0.9631739258766174,0.8513758618336199
building,0.7016149163246155,0.746407687664032,0.921206533908844,0.8246459282259718
train,0.4620038866996765,0.4898521304130554,0.8904310464859009,0.6320146057601027
bus,0.4517601430416107,0.787131130695343,0.5146341919898987,0.6223619363279659
person,0.424638569355011,0.5102763772010803,0.7167320251464844,0.5961351825826483
terrain,0.41621169447898865,0.464709997177124,0.799524188041687,0.5877817377697127
traffic sign,0.3628695607185364,0.548704981803894,0.517240047454834,0.5325081182175344
sidewalk,0.35173657536506653,0.5999857187271118,0.4594890773296356,0.5204217742226005
rider,0.3499182164669037,0.5228723287582397,0.5140601396560669,0.5184287897837516
pole,0.3193522095680237,0.5886238813400269,0.41110625863075256,0.4841045780998535
motorcycle,0.31619027256965637,0.5270780920982361,0.44142305850982666,0.4804628747037661
truck,0.30461859703063965,0.6102346181869507,0.378203421831131,0.4669849162675165
traffic light,0.3042435944080353,0.6744241714477539,0.35662147402763367,0.46654410742139346
bicycle,0.2883654236793518,0.33507832884788513,0.6741063594818115,0.4476453682711201
fence,0.28057602047920227,0.4145602583885193,0.464705228805542,0.438202846657627
wall,0.20160427689552307,0.2652645707130432,0.45653945207595825,0.3355585115764815
Mean,0.7451313138008118,0.8169886469841003,0.8944239616394043,0.8539544387111212
