,IoU,Precision,Recall,F1
sky,0.7511597275733948,0.9408516883850098,0.7883898615837097,0.8578997038588064
building,0.6386436223983765,0.7733561396598816,0.7856982946395874,0.7794783940088844
road,0.6301480531692505,0.6658118367195129,0.9216565489768982,0.7731175565170988
vegetation,0.6273062229156494,0.8730550408363342,0.690267026424408,0.7709749891765887
car,0.6130455136299133,0.8916983008384705,0.6623636484146118,0.7601094187594967
person,0.40377020835876465,0.6247491836547852,0.5330451130867004,0.5752654289861159
terrain,0.26712819933891296,0.28391554951667786,0.8187681436538696,0.4216277345075923
sidewalk,0.24810807406902313,0.45890194177627563,0.3507065176963806,0.3975746549617184
pole,0.2311994582414627,0.6755131483078003,0.2600838840007782,0.3755678388067897
traffic light,0.14369121193885803,0.7853307723999023,0.14956583082675934,0.2512762393500505
wall,0.1413227617740631,0.19270579516887665,0.3464111387729645,0.24764733435332256
fence,0.11610779166221619,0.23649530112743378,0.1857261061668396,0.20805837456926365
rider,0.10082777589559555,0.43193361163139343,0.11624214798212051,0.18318537660084133
truck,0.08653758466243744,0.22176320850849152,0.12427982687950134,0.15929054572053003
traffic sign,0.08030686527490616,0.8810444474220276,0.08118715137243271,0.14867416673880401
motorcycle,0.06547948718070984,0.6430711150169373,0.06794899702072144,0.12291083343106207
bicycle,0.05491359904408455,0.38407713174819946,0.06021636351943016,0.10411013547248957
bus,0.007497949060052633,0.3599967360496521,0.007599246222525835,0.014884297191036068
train,0.002527810400351882,0.002569448435679078,0.13493987917900085,0.005042873217048258
Mean,0.584894061088562,0.7273786664009094,0.7491133213043213,0.7380860514888946
