,IoU,Precision,Recall,F1
sky,0.9287205934524536,0.9635229706764221,0.9625638127326965,0.9630431528825164
car,0.7662031650543213,0.8615180253982544,0.8738241791725159,0.8676274380301255
vegetation,0.7592929005622864,0.8880969882011414,0.8396223187446594,0.8631796258869758
building,0.7209327816963196,0.8340960741043091,0.8416168689727783,0.8378395944368637
road,0.7138057351112366,0.8226094841957092,0.8436698913574219,0.8330066244217058
person,0.4549710750579834,0.5996130108833313,0.6535094976425171,0.6254021872846481
bus,0.3976403474807739,0.770045280456543,0.45122072100639343,0.5690167052221948
terrain,0.324411541223526,0.34025323390960693,0.8744950294494629,0.4898953483337533
pole,0.30820950865745544,0.6162209510803223,0.3814243972301483,0.4711928907464492
sidewalk,0.3078334331512451,0.38562676310539246,0.6041095852851868,0.47075330986491226
traffic light,0.2764796018600464,0.7066153287887573,0.31233346462249756,0.43319078490116414
fence,0.26556119322776794,0.41728848218917847,0.4220857620239258,0.4196734131477822
truck,0.25600969791412354,0.4017943739891052,0.41369035840034485,0.4076555842246543
rider,0.24744898080825806,0.44071701169013977,0.3607233762741089,0.3967280330202258
motorcycle,0.22918787598609924,0.5616762638092041,0.27910763025283813,0.37290945287657196
wall,0.19491147994995117,0.26807448267936707,0.4166271686553955,0.3262358360855362
bicycle,0.15962839126586914,0.48930373787879944,0.1915404498577118,0.2753095635051103
traffic sign,0.14582732319831848,0.6567479372024536,0.15785890817642212,0.2545363150383986
train,0.02402019128203392,0.02416066639125347,0.8051178455352783,0.04691351095835804
Mean,0.7009718418121338,0.800917387008667,0.8488800525665283,0.8242015380511514
