,IoU,Precision,Recall,F1
sky,0.8174645900726318,0.9817862510681152,0.8300526142120361,0.899565916056797
vegetation,0.7417379021644592,0.8343503475189209,0.8698316216468811,0.8517216521690548
car,0.6826522946357727,0.8114187121391296,0.8113818764686584,0.8114002938858308
road,0.665249228477478,0.8253269195556641,0.7742605209350586,0.7989785797278544
building,0.5409056544303894,0.6303386092185974,0.7922031879425049,0.7020619510508332
terrain,0.39399367570877075,0.6048179268836975,0.5305823087692261,0.5652732227943819
person,0.3753533363342285,0.5634470582008362,0.5292778611183167,0.5458282291278926
traffic sign,0.29190418124198914,0.5098138451576233,0.4057977795600891,0.4518975529995857
traffic light,0.26163968443870544,0.7091072797775269,0.2930981516838074,0.41476136305931804
pole,0.26058435440063477,0.6141281723976135,0.31160369515419006,0.41343418837426527
fence,0.24619624018669128,0.47126132249832153,0.34015509486198425,0.3951163479496416
sidewalk,0.24053514003753662,0.4922541081905365,0.31990522146224976,0.3877925415011324
truck,0.18602189421653748,0.3751845061779022,0.26951590180397034,0.31369048095362084
bus,0.17540699243545532,0.47665223479270935,0.21724671125411987,0.2984617153780212
motorcycle,0.16135179996490479,0.3682387173175812,0.2231142818927765,0.2778689449081607
wall,0.15907295048236847,0.3600741922855377,0.22176790237426758,0.2744830707344325
rider,0.1561058908700943,0.31720447540283203,0.23510782420635223,0.2700546487238618
bicycle,0.14336249232292175,0.18260835111141205,0.4001401662826538,0.2507734706444669
train,0.012221116572618484,0.014503218233585358,0.0720701590180397,0.024147128772158633
Mean,0.6485212445259094,0.8098973035812378,0.7649673819541931,0.7867914610198734
