,IoU,Precision,Recall,F1
sky,0.8517941236495972,0.9756537079811096,0.870292603969574,0.9199663073561101
vegetation,0.6918554902076721,0.8434780240058899,0.7937635183334351,0.817865955979735
road,0.6501314640045166,0.7085784673690796,0.8874105215072632,0.7879753452428507
car,0.6253052353858948,0.7046679258346558,0.8473780751228333,0.7694618939057772
building,0.6149560809135437,0.7799476981163025,0.7440502643585205,0.7615761734092251
terrain,0.4103720188140869,0.6096950769424438,0.5565916895866394,0.5819344608718701
person,0.3488961160182953,0.5483664870262146,0.48957574367523193,0.517306143190506
pole,0.2820286452770233,0.5289335250854492,0.376627653837204,0.4399724517114915
traffic light,0.2645467519760132,0.5432677268981934,0.34021273255348206,0.41840564131003904
traffic sign,0.19679522514343262,0.36724573373794556,0.29775628447532654,0.3288703705338431
fence,0.19255629181861877,0.2738761305809021,0.3933908939361572,0.32293031688468316
sidewalk,0.18529391288757324,0.360796719789505,0.27584779262542725,0.31265480643767535
rider,0.14087118208408356,0.2679227590560913,0.22902870178222656,0.24695370280637077
truck,0.11491183191537857,0.22655123472213745,0.18909627199172974,0.2061361764913493
motorcycle,0.11151722818613052,0.25194236636161804,0.16672049462795258,0.20065767158462294
bicycle,0.09528516978025436,0.11696385592222214,0.33953985571861267,0.1739915321748831
wall,0.0949806198477745,0.20083332061767578,0.15269017219543457,0.1734836576979906
bus,0.05465489253401756,0.108301542699337,0.0993725135922432,0.10364507455702938
train,0.0028540962375700474,0.0028915435541421175,0.18058452010154724,0.005691946985210708
Mean,0.6225875020027161,0.7508108019828796,0.7847406268119812,0.7674008545941879
